Date,Confirmed,Deaths,Recovered,Active,Daily_Confirmed,Daily_Deaths,Daily_Recovered,MA_7_Confirmed,MA_14_Confirmed,Mortality_Rate,Recovery_Rate,Active_Rate,Growth_Rate,Growth_Rate_MA
2022-06-25,43389973,524999,0,42864974,11739.0,25.0,0.0,14528.57142857143,14466.642857142857,1.2099546593403043,0.0,98.79004534065969,0.21544602067982144,0.20304058828781724
2022-06-26,43407046,525020,0,42882026,17073.0,21.0,0.0,15315.142857142857,14695.5,1.2095271352950394,0.0,98.79047286470495,0.22529251279506113,0.20899615443595707
2022-06-27,43418839,525047,0,42893792,11793.0,27.0,0.0,15277.142857142857,14935.07142857143,1.2092608003636394,0.0,98.79073919963636,0.22955767896670753,0.2144651047285308
2022-06-28,43433345,525077,0,42908268,14506.0,30.0,0.0,15441.714285714286,15161.0,1.2089259991372987,0.0,98.7910740008627,0.23470145202195702,0.21954237958667275
2022-06-29,43452164,525116,0,42927048,18819.0,39.0,0.0,16065.142857142857,15440.285714285714,1.2084921708387182,0.0,98.79150782916129,0.24733211184562176,0.22606879600336946
2022-06-30,43469234,525139,0,42944095,17070.0,23.0,0.0,15931.142857142857,15841.5,1.2080705171846366,0.0,98.79192948281536,0.24661979368527653,0.23101996895260918
2022-07-01,43486326,525168,0,42961158,17092.0,29.0,0.0,16115.857142857143,15947.142857142857,1.2076623810436413,0.0,98.79233761895637,0.2491848792184559,0.2354477784589859
2022-07-02,43502429,525199,0,42977230,16103.0,31.0,0.0,16352.0,16154.285714285714,1.207286609214396,0.0,98.79271339078561,0.25917508637307574,0.24169478784373652
2022-07-03,43518564,525223,0,42993341,16135.0,24.0,0.0,16367.857142857143,16619.85714285714,1.2068941429225468,0.0,98.79310585707745,0.25691220729464614,0.24621188705796296
2022-07-04,43531650,525242,0,43006408,13086.0,19.0,0.0,16617.14285714286,16591.64285714286,1.2065749862456396,0.0,98.79342501375436,0.2598203973164681,0.25053513253650017
2022-07-05,43547809,525270,0,43022539,16159.0,28.0,0.0,16866.85714285714,16721.785714285714,1.2061915675252455,0.0,98.79380843247475,0.2635394533854196,0.2546548470169948
2022-07-06,43566739,525305,0,43041434,18930.0,35.0,0.0,17174.571428571428,16893.214285714286,1.2057478068303438,0.0,98.79425219316965,0.2636807685803655,0.2569903694076725
2022-07-07,43585554,525343,0,43060211,18815.0,38.0,0.0,17252.14285714286,16987.5,1.2053144947979784,0.0,98.79468550520201,0.26759155682385405,0.2599863355703264
2022-07-08,43604394,525386,0,43079008,18840.0,43.0,0.0,17327.714285714286,17199.5,1.2048923326396876,0.0,98.79510766736031,0.2715060361732968,0.26317507227816084
2022-07-09,43622651,525428,0,43097223,18257.0,42.0,0.0,17434.428571428572,17410.35714285714,1.2044843400278447,0.0,98.79551565997215,0.27635698227332917,0.2656296288353399
2022-07-10,43639329,525454,0,43113875,16678.0,26.0,0.0,17607.14285714286,17726.428571428572,1.2040835916610908,0.0,98.79591640833891,0.2775022631721136,0.26857106538926384
2022-07-11,43652944,525474,0,43127470,13615.0,20.0,0.0,17781.85714285714,17783.571428571428,1.2037538636569391,0.0,98.79624613634306,0.27863405131669516,0.27125873024643915
